Archived?,Name,Date,Day,Grateful,Highlight,Let's Go,Push-Ups
Yes,Monday,01/22/2024,Monday,Fathers Ram Janmbhoomi Holiday Got Cancelled,School Reopen after Pongal Holidays,Making my Routine (also its page in Notion) with knowledge from Atomic Habits,
Yes,Tuesday,01/23/2024,Tuesday,"I am improving myself. Let it be studies, reading, exercising, etc.",Father scolding due to my Sister. I have started exercising from Yesterday,I have to make a lesson template. For each chapter I should follow the study techniques.,
Yes,Wednesday,01/24/2024,Wednesday,I have been following most of the habits I had decided till date,Today there is really dangerous Full Moon. Going to boos my exercise. Going to start journaling from today.,Write my first journal. Boost exercise,
Yes,Thursday,01/25/2024,Thursday,"I have been maintaining most of my habits, trying to make new ones, break bad ones.",Two class have cancelled today,"Today I have to genuinely study English, do CS50 project, start journaling",
Yes,Friday,01/26/2024,Friday,After so many days I got to hear the National Anthem,Republic Day. My Parent Teacher Connect got postponed due to teachers connectivity problem.,Day 2 of journaling,
Yes,Saturday,01/27/2024,Saturday,"My Parent Teacher Connect went really good, teacher told my compliments to my mum","My fathers friend is going to visit us, first person (fathers friend) to visit our home after years",Make Science Passion Project Video,
Yes,Sunday,01/28/2024,Sunday,Gonna study english,"Today even though its Sunday, my father had to go to Court",Have to prep for FA,
Yes,Monday,01/29/2024,Monday,I am grateful that I am improving myself in various areas of my life,School Reopen,Gotta start preparing for my Math FA-4,
Yes,Tuesday,01/30/2024,Tuesday,Maths Class Still Cancelled. Did take a shower,Gas went out,Gotta make maths passion project video,
Yes,Wednesday,01/31/2024,Wednesday,I got to eat paneer two times a day,I missed a lot of reading due to my father asking me to eat dinner,I have to progress my CS50 PSet0,
Yes,Thursday,02-01-24,Thursday,I am trying to study hard,FA’s are comin up,Going to complete CS50 PSet 0,50
Yes,Friday,02-02-24,Friday,I started playing minecraft java,I’ve got a lot of information about upcoming exams and/or the SLC,I have to add data into EP G PP,40
Yes,Saturday,02-03-24,Saturday,I got to eat tasty paneer kohlapuri,"I have a holiday, still gonna study a lot",I have to do a lot of tasks,30
Yes,Sunday,02-04-24,Sunday,I got to vijay appa rice samosa after so many days``,Our geyser once again detoriated,I had to learn maths and science that I did,10
Yes,Monday,02-05-24,Monday,I got to eat pizza and my math class is still cancelled😅,Science FA4 and Student Led Conference (SLC) Orientation,Have to check exam dates and plan ahead,50
Yes,Tuesday,02-06-24,Tuesday,I had not fully completed my Science Flipped class PPT and thankfully my part got postponed to the next day,Our geyser (water heater) got delivered,I need to start making the portfolio,
Yes,Wednesday,02-07-24,Wednesday,My mom made tasty Veggie Yoghurt (Koshimbir) with my favorite vegetable Cauliflower that I loved to eat,Our new geyser got installed and now its ready to work,I have to watch some of Bro Code’s C lecture,
